mastery_rating,mastery,block
0,8,17.070833206177
216,9.2048187255859,17.664058685303
443,10.470994949341,18.282932281494
525,10.928379058838,18.503229141235
654,11.647924423218,18.851295471191
897,13.003345489502,19.505041122437
1070,13.968316078186,19.967332839966
1169,14.520524978638,20.226993560791
1230,14.860774993896,20.389728546143
1387,15.736499786377,20.802297592163
1535,16.562023162842,21.190578460693
1745,17.733375549316,21.736431121826
1913,18.670455932617,22.170104980469
2067,19.529449462891,22.565315246582
2193,20.232259750366,22.887023925781
2576,22.368581771851,23.857467651367
2736,23.261039733887,24.257287979126
2950,24.454704284668,24.786836624146
3164,25.648366928101,25.312364578247
3244,26.094596862793,25.511846542358
3404,26.987054824829,25.902256011963
3618,28.180717468262,26.426155090332
3668,28.4596118927,26.54128074646
3733,28.822172164917,26.703485488892
3783,29.101066589355,26.818153381348
4932,35.510032653809,29.532899856567
